train/learning_rate,train/critic_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps
0.001,57.15039994981554,292,-58.088206397162544,3234,50.554960529999995,3339,732,11.25,4
0.001,49.27355194091797,296,-56.548697280883786,3275,49.88969698,3380,742,11.27,4
0.001,65.03512278470126,300,-57.076120203191586,3327,50.673825130000004,3430,755,11.34,4
0.001,47.70612890070135,304,-58.0872934514826,3371,51.12893348999999,3475,765,11.39,4
0.001,46.57356227527965,308,-57.969520568847656,3413,50.78862943,3519,775,11.41,4
0.001,56.47232913970947,312,-58.90429916381836,3456,51.744871380000006,3562,784,11.43,4
0.001,57.525543975830075,316,-58.10302810668945,3502,51.499069590000005,3607,793,11.46,4
0.001,48.14853439331055,320,-60.077862930297854,3543,51.84340657999999,3647,803,11.43,4
0.001,39.74824678897858,324,-59.644827365875244,3592,53.19370498999999,3697,814,11.52,4
0.001,47.857099919092086,328,-59.062288375127885,3667,51.11820482,3773,827,11.85,4
0.001,39.92901495228643,332,-59.476633320684016,3736,50.45273599999999,3842,844,12.07,4
0.001,56.933894417502664,336,-59.89286561445756,3788,49.10357594999999,3893,856,12.12,4
0.001,43.356263247403234,340,-60.49089119651101,3837,51.11908888999999,3941,867,12.15,4
0.001,34.68678229195731,344,-61.32286834716797,3895,48.86796169999999,4067,887,12.91,4
0.001,47.10901938165937,348,-61.4018280846732,4040,46.75632280999999,4150,909,13.3,4
0.001,57.914809447068436,352,-61.76999106773963,4102,48.25164852999999,4207,923,13.33,4
0.001,47.5191045999527,356,-61.849544286727905,4164,47.88240522,4286,943,13.61,4
0.001,46.789628301348,360,-62.01077079772949,4268,46.41351002000001,4376,965,14.05,4
0.001,42.416193757738384,364,-62.5221197945731,4339,43.43566943999999,4434,979,14.19,4
0.001,37.77686838003305,368,-62.68321316058819,4378,40.75432090999999,4486,991,14.28,4
0.001,38.898060431847206,372,-62.54580893883338,4438,36.31332567000001,4550,1006,14.51,4
0.001,48.39502075740269,376,-62.81617382594517,4531,34.58520471,4643,1029,14.88,4
0.001,50.736519230736626,380,-62.264972898695206,4629,30.527234219999997,4738,1050,15.37,4
0.001,43.04004990427118,384,-62.877480356316816,4702,27.72399645,4844,1074,15.98,4
0.001,48.48697144644601,388,-63.158273190868144,4868,24.858685490000003,4986,1111,16.96,4
